start_date,end_date,filename,camera_id
2023-05-10T16:33:32.111955,2023-05-10T16:34:36.108955,1683736412111955.mp4,
2023-05-10T16:34:36.108955,2023-05-10T16:35:40.105955,1683736476108955.mp4,
2023-05-10T16:35:40.105955,2023-05-10T16:36:44.102955,1683736540105955.mp4,
2023-05-10T16:36:44.102955,2023-05-10T16:37:48.100955,1683736604102955.mp4,
2023-05-10T16:37:48.100955,2023-05-10T16:38:52.097955,1683736668100955.mp4,
2023-05-10T16:38:52.097955,2023-05-10T16:39:56.094955,1683736732097955.mp4,
2023-05-10T16:39:56.094955,2023-05-10T16:41:00.091955,1683736796094955.mp4,
2023-05-10T16:41:00.091955,2023-05-10T16:42:04.088955,1683736860091955.mp4,
2023-05-10T16:42:04.088955,2023-05-10T16:43:08.086955,1683736924088955.mp4,
2023-05-10T16:43:08.086955,2023-05-10T16:44:12.083955,1683736988086955.mp4,
2023-05-10T16:44:12.083955,2023-05-10T16:45:16.080955,1683737052083955.mp4,
2023-05-10T16:45:16.080955,2023-05-10T16:46:20.077955,1683737116080955.mp4,
2023-05-10T16:46:20.077955,2023-05-10T16:47:24.074955,1683737180077955.mp4,
2023-05-10T16:47:24.074955,2023-05-10T16:48:28.072955,1683737244074955.mp4,
2023-05-10T16:48:28.072955,2023-05-10T16:49:32.069955,1683737308072955.mp4,
2023-05-10T16:49:32.069955,2023-05-10T16:50:36.066955,1683737372069955.mp4,
2023-05-10T16:50:36.066955,2023-05-10T16:51:40.063955,1683737436066955.mp4,
2023-05-10T16:51:40.063955,2023-05-10T16:52:44.060955,1683737500063955.mp4,
2023-05-10T16:52:44.060955,2023-05-10T16:53:48.058955,1683737564060955.mp4,
2023-05-11T08:41:06.181109,2023-05-11T08:42:08.662109,1683794466181109.mp4,
2023-05-11T08:42:08.662109,2023-05-11T08:43:11.182109,1683794528662109.mp4,
2023-05-11T08:43:11.182109,2023-05-11T08:44:13.662109,1683794591182109.mp4,
2023-05-11T08:44:13.662109,2023-05-11T08:45:16.183109,1683794653662109.mp4,
2023-05-11T08:45:16.183109,2023-05-11T08:46:18.663109,1683794716183109.mp4,
2023-05-11T08:46:18.663109,2023-05-11T08:47:21.183109,1683794778663109.mp4,
2023-05-11T08:47:21.183109,2023-05-11T08:48:23.663109,1683794841183109.mp4,
2023-05-11T08:48:23.663109,2023-05-11T08:49:26.184109,1683794903663109.mp4,
2023-05-11T08:49:26.184109,2023-05-11T08:50:28.664109,1683794966184109.mp4,
2023-05-11T08:50:28.664109,2023-05-11T08:51:31.144109,1683795028664109.mp4,
2023-05-11T08:51:31.144109,2023-05-11T08:52:33.665109,1683795091144109.mp4,
2023-05-11T08:52:33.665109,2023-05-11T08:53:36.185109,1683795153665109.mp4,
2023-05-11T08:53:36.185109,2023-05-11T08:54:38.665109,1683795216185109.mp4,
2023-05-11T08:54:38.665109,2023-05-11T08:55:41.186109,1683795278665109.mp4,
2023-05-11T08:55:41.186109,2023-05-11T08:56:43.666109,1683795341186109.mp4,
2023-05-11T08:56:43.666109,2023-05-11T08:57:46.146109,1683795403666109.mp4,
2023-05-11T08:57:46.146109,2023-05-11T08:58:48.666109,1683795466146109.mp4,
2023-05-11T08:58:48.666109,2023-05-11T08:59:51.187109,1683795528666109.mp4,
2023-05-11T08:59:51.187109,2023-05-11T09:00:53.667109,1683795591187109.mp4,
2023-05-11T09:00:53.667109,2023-05-11T09:01:56.187109,1683795653667109.mp4,
2023-05-11T09:01:56.187109,2023-05-11T09:02:58.668109,1683795716187109.mp4,
2023-05-11T09:02:58.668109,2023-05-11T09:04:01.188109,1683795778668109.mp4,
2023-05-11T09:04:01.188109,2023-05-11T09:05:03.668109,1683795841188109.mp4,
2023-05-11T09:05:03.668109,2023-05-11T09:06:06.189109,1683795903668109.mp4,
2023-05-11T09:06:06.189109,2023-05-11T09:07:08.669109,1683795966189109.mp4,
2023-05-11T09:07:08.669109,2023-05-11T09:08:11.189109,1683796028669109.mp4,
2023-05-11T09:08:11.189109,2023-05-11T09:09:13.670109,1683796091189109.mp4,
2023-05-11T09:09:13.670109,2023-05-11T09:10:16.190109,1683796153670109.mp4,
2023-05-11T09:10:16.190109,2023-05-11T09:11:18.670109,1683796216190109.mp4,
2023-05-11T09:11:18.670109,2023-05-11T09:12:21.190109,1683796278670109.mp4,
2023-05-11T09:12:21.190109,2023-05-11T09:13:23.671109,1683796341190109.mp4,
2023-05-11T09:13:23.671109,2023-05-11T09:14:26.151109,1683796403671109.mp4,
2023-05-11T09:14:26.151109,2023-05-11T09:15:28.671109,1683796466151109.mp4,
2023-05-11T09:15:28.671109,2023-05-11T09:16:31.152109,1683796528671109.mp4,
